Date,Price,Open,High,Low,Vol.,Change %
10/23/2002,354.85,353.65,354.85,348.91,688.59M,0.29%
10/22/2002,353.81,362.41,362.41,352.27,405.59M,-2.23%
10/21/2002,361.87,359.87,363.01,358.65,625.89M,0.27%
10/18/2002,360.9,355.37,363.56,355.37,525.02M,1.63%
10/17/2002,355.11,356.52,357.64,352.51,408.82M,-0.64%
10/16/2002,357.38,347.98,360.17,347.98,1.19B,4.44%
10/15/2002,342.2,337.26,342.54,323.32,1.56B,1.40%
10/14/2002,337.48,370.92,370.92,334.73,1.21B,-10.36%
10/11/2002,376.47,384.77,387.26,374.59,309.40M,-2.09%
10/10/2002,384.49,390.21,390.21,381.56,304.50M,-1.88%
10/9/2002,391.84,401.6,401.6,388.73,380.48M,-2.54%
10/8/2002,402.05,401.87,402.05,396.81,325.07M,0.05%
10/7/2002,401.84,407.57,407.57,399.6,169.59M,-1.61%
10/3/2002,408.43,408.83,409.56,406.29,389.14M,-0.26%
10/2/2002,409.5,409.79,411.61,406.78,461.94M,0.49%
10/1/2002,407.52,418.47,418.47,404.38,363.85M,-2.81%
9/30/2002,419.31,412.17,419.31,403.08,710.17M,1.54%
9/27/2002,412.97,413.05,413.47,409.76,443.08M,0.25%
9/26/2002,411.94,410.22,411.94,408.53,576.16M,0.81%
9/25/2002,408.65,407.26,409.48,404.14,313.77M,0.09%
9/24/2002,408.3,410.53,410.53,404.97,182.28M,-0.60%
9/23/2002,410.77,407.77,411.41,407.77,204.25M,0.48%
9/20/2002,408.8,405.9,408.8,401.7,472.57M,0.02%
9/19/2002,408.7,417.77,417.77,406.82,462.30M,-2.49%
9/18/2002,419.12,426.78,426.78,417.19,267.92M,-1.89%
9/17/2002,427.18,420.77,427.54,420.77,406.78M,1.66%
9/16/2002,420.22,421,421,416.23,841.18M,-0.19%
9/13/2002,421,427.91,427.91,420.41,295.52M,-1.68%
9/12/2002,428.18,431.04,431.43,427.1,285.70M,-0.45%
9/11/2002,430.12,429.29,430.15,426.23,257.98M,0.18%
9/10/2002,429.34,430.37,431.4,425.95,259.24M,-0.22%
9/9/2002,430.27,429.18,430.45,427.29,218.09M,0.58%
9/6/2002,427.8,425.36,428.91,422.12,241.11M,0.16%
9/5/2002,427.12,422.03,427.82,422.03,608.94M,1.59%
9/4/2002,420.44,427.42,427.42,415.66,518.85M,-2.22%
9/3/2002,429.99,439.92,439.92,427,432.52M,-2.27%
9/2/2002,439.99,443.03,443.4,438.36,281.39M,-0.83%
8/30/2002,443.67,438.57,443.67,438.47,252.75M,1.08%
8/29/2002,438.92,442.97,442.97,437.04,292.54M,-0.91%
8/28/2002,442.97,451.42,451.42,440.2,237.63M,-2.01%
8/27/2002,452.06,456.34,456.88,449.92,214.03M,-0.95%
8/26/2002,456.41,458.04,458.19,454.56,362.64M,-0.41%
8/23/2002,458.27,454.72,459.36,454.72,405.01M,0.86%
8/22/2002,454.35,459.16,460.14,452.81,388.27M,-0.63%
8/21/2002,457.22,456.74,457.22,452.84,585.35M,0.10%
8/20/2002,456.75,453.13,456.75,453.13,972.68M,1.17%
